start,end,dependents0,dependents1,dependents2,dependents3,dependents4,dependents5,dependents6,dependents7,default
,88000,0,0,0,0,0,0,0,0,
171000,173000,3770,2140,530,0,0,0,0,0,12000
187000,189000,4340,2720,1100,0,0,0,0,0,16700
189000,191000,4410,2790,1170,0,0,0,0,0,17500
299000,302000,8420,6740,5130,3510,1890,280,0,0,53700
335000,338000,11360,8210,6600,4980,3360,1750,130,0,64900
338000,341000,11610,8370,6720,5110,3480,1870,260,0,66000
341000,344000,11850,8620,6840,5230,3600,1990,380,0,67000
386000,389000,15530,12290,9060,7070,5440,3830,2220,590,83100
389000,392000,15770,12540,9300,7190,5560,3950,2340,710,84700
